disease_id	phenotype_id	qualifier	evidence	onset	frequency	sex	modifier	aspect	publication	description
			PCS		9/25			P		
			PCS		4/17		HP:0033185	P		
			PCS		5/25		HP:0033185	P		
			PCS		10/19		HP:0033185;HP:0033185	P		
			PCS		6/19		HP:0033185	P		
			PCS		5/17		HP:0033185	P		
			TAS	HP:0003577	HP:0040281			P		
			PCS	HP:0003596	1/5			P		
			PCS		4/4	MALE		C		
			PCS	HP:0003577	4/4	MALE		P		
			PCS		11/28			C		
			PCS		2/21			C		
			PCS		0/4	MALE		P		
			IEA		0/8			P		
			PCS	HP:0003593	2/8			P		
			TAS		HP:0040284			P		
			PCS		1/69			P		
			PCS		9/69			P		
			PCS		33/69			P		
			PCS		20/27			P		
			TAS		20/20		HP:0012825	P		
			PCS		2/3		HP:0003676	P		
			PCS	HP:0003623	1/5			P		
			PCS	HP:0003593	1/19			P		
			IEA		2/11			P		
			PCS	HP:0003577	3/11	MALE		P		
			PCS		0/2		HP:0012825	P		
			PCS		22/33			P		
			PCS		15/33			P		
			PCS		1/3		HP:0012828	P		
			PCS	HP:0003577	9/12			P		
			PCS	HP:0011461	2/3			P		
			IEA		1/2			P		
			PCS	HP:0003596	1/3			P		
			PCS		12/47			P		
			PCS		1/37			P		
			PCS		3/37			P		
			PCS		44/51			P		
			PCS		2/37			P		
			PCS	HP:0003577	4/51			P		
			PCS		22/51			P		
			PCS	HP:0003577	2/14			P		
			PCS		4/37			P		
			PCS		13/51			P		
			PCS	HP:0003623	3/37			P		
			PCS	HP:0003577	3/14			P		
			PCS		6/51			P		
			PCS	HP:0003577	3/37			P		
			PCS		10/13			C		
			PCS		11/51			P		
			TAS		32/413			P		
			TAS		42/423			P		
			PCS	HP:0011462	2/2	FEMALE		P		
			PCS		1/36			P		
			PCS	HP:0030674	1/49			P		
			PCS		21/36			P		
			PCS		5/44			P		
			PCS		10/28	MALE		P		
			PCS		38/44			P		
			PCS		52/55			P		
			PCS		13/33			P		
			IEA		5/34			P		
			PCS		6/27			P		
			TAS	HP:0003621	19/32			P		
			PCS		4/52			C		
			PCS		2/13			C		
			IEA	HP:0011461	1/4			P		
			PCS		1/2		HP:0025303	P		
			PCS	HP:0003623	7/7			P		
			PCS		17/37			P		
			PCS		26/37			P		
			PCS		28/37			P		
			PCS		13/37			P		
			PCS		32/37			P		
			PCS		31/47			P		
			PCS		24/37			P		
			PCS		16/37			P		
			PCS		29/37			P		
			IEA		19/34			P		
			PCS		9/37			P		
			PCS		30/37			P		
			PCS		23/37			P		
			PCS		1/13	MALE		P		
			PCS		33/37			P		
			PCS	HP:0003577	13/13			P		
			PCS	HP:0011461	2/7			P		
			PCS	HP:0003623	4/7			P		
			PCS		1/25			C		
			PCS		4/29			P		
			PCS		3/29			P		
			PCS		22/25			C		
			TAS		5/29			P		
			PCS		2/25			C		
			PCS		39/46			P		
			PCS		19/47			P		
			PCS		21/47			P		
			PCS		17/47			P		
			PCS		45/47			P		
			PCS		3/47			P		
			PCS		26/47			P		
			PCS		42/47			P		
			PCS		15/46			P		
			PCS		8/47			P		
			PCS		2/15			C		
			PCS		1/15			C		
			PCS	HP:0003581	3/15			P		
			PCS	HP:0011462	1/15			P		
			PCS	HP:0011461	4/16			P		
			PCS		17/23			P		
			IEA		16/22			P		
			PCS	HP:0003623	20/22			P		
			PCS		5/15	MALE		P		
			PCS		15/45			P		
			PCS		19/51			P		
			PCS		10/47			P		
			PCS		15/18			C		
			PCS		14/25			P		
			PCS		51/89			P		
			PCS		23/29			P		
			PCS		21/66			P		
			PCS		20/51			P		
			PCS		21/46			P		
			PCS		98/102			P		
			PCS		19/50			P		
			PCS		88/91			P		
			PCS		32/51			P		
			PCS		87/88			P		
			PCS		80/87			P		
			PCS		48/65			P		
			PCS		21/51			P		
			PCS		19/49			P		
			PCS		16/53			P		
			PCS	HP:0011461	4/21			P		
			PCS		8/43			P		
			PCS		12/26			P		
			PCS		15/30			P		
			PCS		8/10			C		
			PCS	HP:0003621	1/10			P		
			PCS	HP:0003581	1/10			P		
			IEA		9/10			C		
			PCS		8/23			P		
			PCS		167/240			P		
			PCS		114/119			P		
			PCS		34/50			P		
			PCS		15/123			P		
			PCS		41/87			P		
			PCS		76/118			P		
			PCS		23/122			P		
			PCS		179/237			P		
			PCS		21/237			P		
			PCS		66/120			P		
			PCS	HP:0025710	2/2			P		
			PCS	HP:0003577	2/2		HP:0012829	P		
			IEA		11/11			P		
			PCS		11/144			P		
			PCS		47/47			P		
			PCS		34/69			P		
			PCS		36/56			P		
			PCS		79%			P		
			PCS		10/55			P		
			PCS		2/144			P		
			PCS		53/69			P		
			PCS		7/42			C		
			PCS		31/42			C		
			PCS		3/42			C		
			PCS		2/5	FEMALE		P		
			PCS		9/9	MALE		P		
			IEA		2/13			C		
			PCS	HP:0011463	10/11			P		
			PCS				HP:0012826	P		
			PCS	HP:0003577	3/9			P		
			PCS		3/154			P		
			PCS		26/165			P		
			PCS		19/154			P		
			PCS		11/54			P		
			PCS		13/154			P		
			PCS		50/154			P		
			PCS		32/94			P		
			PCS		16/52			P		
			PCS		32/154			P		
			PCS		83/165			P		
			PCS		63/63			P		
			PCS		37/62			P		
			TAS		4/4		HP:0012825	P		
			PCS		118/229			P		
			PCS		42/130			P		
			PCS		3/201			P		
			PCS		5/199			P		
			PCS		9/193			P		
			PCS		195/227			P		
			PCS		8/23			C		
			PCS		2/23			C		
			PCS		7/23			C		
			PCS	HP:0003593	12/12			P		
			PCS	HP:0003593	5/13			P		
			TAS	HP:0003577	2/4		HP:0012828	P		
			TAS	HP:0003577			HP:0012828	P		
			IEA	HP:0003577	4/4			P		
			PCS	HP:0003581	4/10			P		
			PCS	HP:0011463	9/10			P		
			PCS		1/10		HP:0012825	P		
			PCS	HP:0003577	8/8		HP:0012828	P		
			PCS		9/27			P		
			PCS		18/27			P		
			PCS		1/1		HP:0012832	P		
			PCS	HP:0003621	HP:0040281			P		
			PCS	HP:0003593	9/12			P		
			PCS	HP:0030674	7/12			P		
			PCS		70/119			P		
			PCS		79/110			P		
			PCS		3/101			P		
			PCS		79/118			P		
			PCS		55/125			P		
			PCS		9/115			P		
			PCS		121/121			P		
			PCS		89/122			P		
			PCS		18/117			P		
			PCS		87/108			P		
			PCS		108/115			P		
			PCS		25/110			P		
			PCS	HP:0003584	1/3			P		
			PCS		42/102			P		
			PCS		2/118			P		
			PCS		21/103			P		
			PCS		8/10		HP:0025303	P		
			PCS		18/22			C		
			PCS	HP:0003584	15/22			P		
			PCS		10/10		HP:0012828	P		
			TAS		10/24			P		
			PCS		2/15		HP:0012825	P		
			PCS	HP:0011463	15/15	FEMALE		P		
			PCS		24/74			P		
			PCS		16/30			P		
			PCS		15/42			P		
			PCS		27/90			P		
			PCS		57/90			P		
			PCS		84/90			P		
			PCS		60/60			P		
			PCS		2/64			P		
			PCS		58/70			P		
			PCS		20/30			P		
			PCS	HP:0003577	57/60			P		
			PCS		40/70			P		
			PCS	HP:0003593	15/31			P		
			PCS		26/60			P		
			PCS	HP:0003577	26/30			P		
			PCS		9/62			P		
			PCS	HP:0003593	7/30			P		
			PCS		90/90			P		
			PCS		11/60			P		
			PCS		48/60			P		
			PCS		52/86			P		
			PCS		12/62			P		
			PCS		2/34			P		
			PCS		80/90			P		
			PCS		30/44			P		
			PCS	HP:0011463	5/9			P		
			PCS		3/56			P		
			PCS		35/56			P		
			PCS		50/56			P		
			PCS		41/56			C		
			PCS		29/38			P		
			IEA		50%	FEMALE		P		
			PCS		51/56			P		
			PCS		27/56			P		
			PCS		29/56			P		
			PCS		42/56			P		
			PCS		49/56			P		
			IEA	HP:0003577	47/56			P		
			PCS		4/7	MALE		P		
			PCS		11/11		HP:0011010	P		
			PCS		9/9		HP:0011010	P		
			PCS		30/33			P		
			PCS	HP:0011461	6/19			P		
			PCS		15/32			P		
			PCS		24/34			P		
			PCS		12/31			P		
			PCS				HP:0030650	P		
			PCS		10/33			P		
			PCS		10/30			P		
			PCS		3/33			P		
			PCS		24/31			P		
			PCS		4/35			P		
			PCS	HP:0003623	10/32			P		
			PCS		9/31			P		
			PCS		28/33			P		
			PCS		17/55			P		
			PCS		11/55			P		
			PCS		5/55			P		
			TAS				HP:0012839	P		
			PCS		8/30			P		
			PCS				HP:0003676	P		
			TAS				HP:0032365	P		
			PCS		2/6		HP:0012825	P		
			IEA		10/12			P		
			IEA		7/12			P		
			IEA		20%			P		
			IEA		14/14			P		
			PCS	HP:0003577	1/10			P		
			PCS	HP:0011461	4/10			P		
			PCS		6/9	MALE		P		
			IEA		10/13			P		
			PCS		6/8	FEMALE		P		
			PCS		3/5	MALE		C		
			PCS		2/4	FEMALE		C		
			PCS		2/5	MALE		C		
			PCS		5/8	FEMALE		P		
			PCS		3/8	FEMALE		P		
			PCS		0/8	FEMALE		P		
			PCS		4/8	FEMALE		P		
			PCS	HP:0011462	5/7			P		
			TAS		4/20			P		
			PCS	HP:0003596	7/7			P		
			IEA		0/1			P		
			PCS		3/5		HP:0012825	P		
			PCS		26/33			P		
			PCS		14/32			P		
			PCS		15/37			P		
			PCS		27/32			P		
			PCS		22/25			P		
			PCS		27/30			P		
			PCS	HP:0011461	3/5			P		
			PCS		25/38			P		
			PCS		10/37			P		
			PCS		24/33			P		
			PCS		25/49			P		
			PCS		85/97			P		
			PCS		79/85			P		
			PCS		36/98			P		
			PCS		102/105			P		
			PCS		109/111			P		
			PCS		81/103			P		
			PCS		86/102			P		
			PCS		65/71			P		
			PCS		22/84			P		
			PCS		88/88			P		
			IEA		5/6			P		
			PCS	HP:0003623	4/5			P		
			PCS		21/34			P		
			IEA	HP:0003593	5/40			P		
			PCS		3/46			P		
			PCS		38/38	MALE		P		
			IEA		1/7			P		
			PCS		13/38			P		
			PCS		27/28			P		
			PCS		37/45			P		
			PCS		1/2	MALE		P		
			PCS		33/33			C		
			PCS		10/10	MALE		C		
			PCS	HP:0011463	7/8			P		
			PCS	HP:0003621	6/7			P		
			PCS	HP:0003623	4/12			P		
			PCS		28/28			C		
			PCS		10/88			P		
			PCS		102/111			P		
			PCS		12/88			P		
			PCS		43/88			P		
			PCS	HP:0003593	7/28			P		
			PCS		66/88			P		
			PCS		29/88			P		
			PCS		3/88			P		
			PCS		8/88			P		
			PCS		41/88			P		
			PCS		40/88			P		
			PCS		97/116			P		
			PCS		9/116			P		
			PCS		19/88			P		
			PCS		11/88			P		
			PCS		5/14			C		
			PCS		HP:0040283	FEMALE		P		
			PCS		170/182			P		
			PCS		176/182			P		
			PCS	HP:0003593	6/9			P		
			PCS	HP:0003577	5/7			P		
			PCS		6/24			C		
			PCS		32/73			P		
			PCS		11/78			P		
			PCS		23/70			P		
			PCS		22/56			P		
			PCS		28/60			P		
			PCS		49/74			P		
			PCS		15/57			P		
			PCS		20/55			P		
			PCS		25/55			P		
			PCS		44/54			P		
			PCS		12/63			P		
			PCS		11/65			P		
			PCS		45/74			P		
			PCS		33/66			P		
			PCS		19/62			P		
			PCS		14/66			P		
			PCS		34/76			P		
			PCS		14/58			P		
			PCS		5/46			P		
			PCS		3/3		HP:0025206;HP:0025303	P		
			PCS		3/4		HP:0025206;HP:0025303	P		
			PCS		5/5		HP:0025206;HP:0025303	P		
			PCS	HP:0003623	9/9			P		
			PCS	HP:0011461	5/9			P		
			IEA		2/14			P		
			PCS	HP:0003581	14/14			P		
			PCS		9/33			P		
			PCS		17/33			P		
			PCS		1/33			P		
			PCS		7/66			P		
			PCS		5/33			P		
			PCS		4/33			P		
			PCS		6/33			P		
			PCS		4/66			P		
			PCS		30/31			P		
			PCS		5/32			P		
			PCS		3/66			P		
			IEA	HP:0003623	1/2			P		
			PCS	HP:0011463	4/11			P		
			PCS		14/16			C		
			IEA	HP:0003577	3/5			P		
			PCS		11/23			P		
			PCS		8/17			C		
			PCS		9/17			C		
			PCS	HP:0003577	5/17			P		
			PCS	HP:0003577	5/15			P		
			PCS	HP:0003577	14/15			P		
			PCS	HP:0003577	11/15			P		
			PCS		11/15		HP:0012825	P		
			PCS		3/51			P		
			PCS		0/51			P		
			PCS		18/42			P		
			PCS		37/51			P		
			PCS		14/45			P		
			PCS		4/54			P		
			PCS		49/49			C		
			PCS		26/51			P		
			PCS		32/49			P		
			PCS		8/10	MALE		P		
			PCS		6/10	MALE		P		
			PCS		1/10	MALE		P		
			PCS		7/10	MALE		P		
			PCS		10/10	MALE		P		
			PCS		5/10	MALE		P		
			PCS	HP:0011463	10/10	MALE		P		
			PCS	HP:0011463	3/10	MALE		P		
			PCS		4/10	MALE		P		
			PCS		11/93			P		
			PCS		32/87			P		
			PCS		28/42			P		
			PCS	HP:0003621	20/93			P		
			PCS		52/93			P		
			PCS		8/93			P		
			PCS		2/93			P		
			PCS	HP:0003621	82/93			P		
			PCS		13/93			P		
			PCS		42/93			P		
			PCS				HP:0500261	P		
			IEA				HP:0500261	P		
			PCS		1/7	MALE		P		
			PCS		34/52			P		
			PCS		14/48			P		
			PCS		14/52			P		
			PCS		48/74			P		
			PCS		12/74			P		
			PCS		49/54			P		
			PCS		35/76			P		
			PCS		0/22			P		
			PCS		19/54			P		
			PCS		41/52			P		
			IEA	HP:0003593	3/3			P		
			TAS		10%			P		
			PCS	HP:0011463	14/14			P		
			PCS		16/22			C		
			PCS	HP:0003593	4/6			P		
			PCS	HP:0003581	3/7			P		
			PCS		7/17			C		
			PCS		6/6		HP:0012829	P		
			PCS		13/17			C		
			PCS	HP:0003581	7/10			P		
			PCS	HP:0003577	4/7			P		
			PCS	HP:0003623	2/6			P		
			PCS		17/57			P		
			PCS		57/57			P		
			PCS		12/57			P		
			PCS		3/57			P		
			PCS		30/57			P		
			PCS		62/139			P		
			PCS		34/57			P		
			PCS		1/5	FEMALE		P		
			IEA		3/3			C		
			TAS		2/20			P		
			PCS		33/38			P		
			PCS		25/40			P		
			PCS		20/47			P		
			PCS		36/38			P		
			PCS		42/44			P		
			PCS		23/39			P		
			PCS		37/46			P		
			PCS		32/41			P		
			PCS		36/44			P		
			PCS		33/39			P		
			PCS		27/46			P		
			PCS		20/32			P		
			PCS		6/41			P		
			PCS		39/56			P		
			PCS		34/40			P		
			PCS		7/46			P		
			PCS		42/46			P		
			PCS		3/42			P		
			PCS		34/42			P		
			PCS		30/43			P		
			PCS		39/52			P		
			PCS		27/52			P		
			PCS		46/49			P		
			PCS		18/40			C		
			PCS		22/40			C		
			TAS		HP:0040280			P		
			IEA		17/17			C		
			PCS	HP:0003577	7/17			P		
			PCS	HP:0003577	14/17			P		
			IEA		4/11			P		
			IEA		3/11			P		
			PCS	HP:0003593	22/22			P		
			PCS		21/24			P		
			IEA		6/19			P		
			PCS	HP:0003596	2/2			P		
			PCS		2/3		HP:0012825	P		
			PCS	HP:0003623	30/37			P		
			PCS		65/119			P		
			PCS		57/120			P		
			PCS		33/114			P		
			PCS		67/91			P		
			PCS		63/118			P		
			PCS		113/118			P		
			PCS		122/122			C		
			PCS		18/114			P		
			PCS		94/118			P		
			PCS		50/199			P		
			PCS		1/7		HP:0012833	P		
			PCS	HP:0003593	1/7			P		
			PCS		1/7		HP:0012825	P		
			PCS		6/71			P		
			IEA		19/71			P		
			PCS	HP:0003621	9/11			P		
			PCS		5/42			P		
			PCS		26/49			P		
			PCS		10/42			P		
			PCS		12/42			P		
			PCS		9/49			P		
			PCS		17/42			P		
			PCS		23/42			P		
			PCS		33/42			P		
			PCS		34/47			P		
			PCS		33/47			P		
			PCS		24/42			P		
			PCS		23/49			P		
			PCS	HP:0003593	4/5			P		
			PCS		0/21			P		
			PCS		13/35	MALE		P		
			PCS	HP:0003577	64/71			P		
			PCS		10/71			P		
			PCS		7/71			P		
			PCS		14/71			P		
			PCS		16/71			P		
			PCS	HP:0003581	2/17			P		
			PCS	HP:0003581	7/17			P		
			PCS	HP:0003577	14/14			P		
			PCS	HP:0011462	1/5			P		
			PCS		5/31			P		
			PCS		6/16			C		
			PCS		11/18			C		
			PCS		4/19		HP:0012825	P		
			PCS		1/71			P		
			PCS		2/71			P		
			PCS		26/39			P		
			PCS		15/71			P		
			PCS		3/71			P		
			PCS		106/111			P		
			PCS		59/112			P		
			PCS		13/26			P		
			PCS		12/14		HP:0012825	P		
			PCS		35/293			P		
			PCS		8/121			C		
			PCS		113/121			C		
			PCS	HP:0003596	68/117			P		
			PCS		12/48			P		
			PCS		2/17	FEMALE		P		
			PCS		51/91			P		
			PCS		36/130			P		
			PCS	HP:0003577	1/33			P		
			PCS		99/139			P		
			PCS		30/116			P		
			PCS		48/135			P		
			PCS		13/106			P		
			PCS		12/39			P		
			PCS		21/72			P		
			PCS		16/57			P		
			PCS		11/26			P		
			PCS		28/39			P		
			PCS		13/151			P		
			PCS		9/44			P		
			PCS		16/66			P		
			PCS		16/27	FEMALE		P		
			PCS		26/78			P		
			PCS		60/111			P		
			PCS		33/63			P		
			PCS	HP:0003581	13/42			P		
			PCS		94/128			P		
			PCS		42/125			P		
			PCS		19/61			P		
			PCS		103/199		HP:0012825	P		
			PCS		14/46			P		
			PCS		12/32			P		
			PCS		7/45			P		
			PCS		67/109			P		
			TAS		15/15			P		
			PCS		1/22		HP:0012833	P		
			PCS	HP:0003623	4/22			P		
			PCS	HP:0003577	1/21			P		
			PCS		10/36			P		
			PCS	HP:0003581	3/8			P		
			PCS	HP:0003593	10/15			P		
			PCS	HP:0011461	3/15			P		
			PCS		9/14			C		
			PCS	HP:0003581	19/19			P		
			PCS		7/16			C		
			IEA		HP:0040281			P		
			PCS		8/37			C		
			PCS		2/37			C		
			PCS		16/40			P		
			PCS		20/40			P		
			PCS		19/37			C		
			PCS		7/37			C		
			PCS		1/37			C		
			PCS		8/40			P		
			PCS		4/4		HP:0025377	P		
			PCS		8/9		HP:0025377	P		
			PCS		21/505			P		
			PCS		21/50			P		
			PCS		30/50			P		
			PCS	HP:0003577	HP:0040281			P		
			IEA	HP:0003577	4/5			P		
			PCS		12/56			P		
			PCS		21/27			P		
			PCS		37/40			P		
			PCS		40/40			C		
			PCS		29/66			P		
			PCS	HP:0003596	1/8			P		
			PCS		32/38			P		
			PCS		15/38			P		
			IEA		27/38			P		
			PCS		9/11	MALE		P		
			PCS		3/13	FEMALE		P		
			PCS		2/5		HP:0012825	P		
			PCS		20/20		HP:0012825	P		
			PCS		52/53			P		
			PCS		24/26			P		
			PCS		1/3		HP:0011010	P		
			PCS	HP:0003577	12/12			P		
			IEA		2/2		HP:0031796	P		
			PCS		11/40			P		
			PCS		7/49			P		
			IEA		0/18			P		
			PCS		1/40		HP:0012825	P		
			PCS	HP:0003577	1/24			P		
			PCS		18/28			P		
			PCS	HP:0003577	2/24			P		
			PCS	HP:0003577	21/24			P		
			IEA		11/14			P		
			PCS	HP:0003581	14/25			P		
			PCS	HP:0003581	19/25			P		
			PCS	HP:0003593	6/10			P		
			PCS		7/14			C		
			PCS		12/25			P		
			PCS		2/3		HP:0033184	P		
			PCS		1/3		HP:0033184	P		
			IEA		1/8			P		
			PCS		24/27			C		
			PCS		11/11		HP:0012828	P		
			PCS	HP:0003621	6/6			P		
			PCS	HP:0011462	2/6			P		
			TAS		15/20			P		
			TAS		HP:0040283			I		
			PCS	HP:0011461	1/6			P		
			TAS		15/48			P		
			PCS		4/53			P		
			PCS		5/48			P		
			PCS		19/60			P		
			PCS		42/50			P		
			TAS		8/60			P		
			PCS	HP:0003623	5/10			P		
			TAS	HP:0003581	40%			P		
			PCS	HP:0003581	10/46			P		
			PCS	HP:0003577	16/16			P		
			IEA		0/11			P		
			PCS	HP:0003577	2/2	MALE		P		
			PCS		2/19			C		
			PCS		6/19			C		
			PCS		10/19			C		
			PCS	HP:0003577	5/18			P		
			PCS	HP:0003577	5/8			P		
			PCS	HP:0003596	2/3			P		
			PCS	HP:0003623	3/9			P		
			PCS		7/29			C		
			PCS		21/30			C		
			PCS		19/27			P		
			PCS	HP:0011461	3/11			P		
			PCS		0/33			P		
			PCS		59/59			P		
			PCS	HP:0011463	9/23			P		
			PCS	HP:0011462	3/11			P		
			PCS		5/9		HP:0012825	P		
			PCS		2/9		HP:0011010	P		
			PCS	HP:0003593	2/6			P		
			PCS		2/17		HP:0012825	P		
			PCS		3/3		HP:0025206	P		
			PCS		15/17		HP:0025206;HP:0025206;HP:0025206	P		
			PCS		2/3		HP:0025206	P		
			PCS		16/16		HP:0025206;HP:0025206;HP:0025206	P		
			PCS		1/3		HP:0025206	P		
			PCS		9/10		HP:0025206;HP:0025206;HP:0025206	P		
			PCS	HP:0003593	3/3		HP:0025206	P		
			PCS		3/4		HP:0025206	P		
			PCS		3/6		HP:0025206	P		
			PCS		5/7		HP:0025206;HP:0025206	P		
			PCS		1/108			P		
			PCS		32/42			C		
			PCS		79/86			P		
			PCS		81/87			P		
			PCS		9/42			C		
			TAS		81/87			P		
			PCS		58/103			P		
			PCS		1/42			C		
			PCS	HP:0011463	67/85			P		
			PCS		72/85			P		
			PCS		54/86			P		
			PCS		34/84			P		
			PCS		5/108			P		
			PCS		17/81			P		
			PCS		18/86		HP:0012825	P		
			PCS		91/95			P		
			PCS		3/103			P		
			PCS		8/108			P		
			PCS		28/84			P		
			PCS		5/84			P		
			PCS		1/14			C		
			PCS		12/18			C		
			PCS	HP:0030674	2/3			P		
			PCS	HP:0030674	1/3			P		
			PCS	HP:0025708	1/1			P		
			PCS		31/34		HP:0011010	P		
			PCS	HP:0003577	11/16			P		
			PCS		35/35		HP:0011010	P		
			PCS		31/34			P		
			PCS		31/35			P		
			PCS		34/36			P		
			PCS		25/35			P		
			PCS		1/8		HP:0012828	P		
			PCS		4/5		HP:0012825	P		
			PCS	HP:0003581	2/2		HP:0003676	P		
			PCS		12/12	MALE		P		
			PCS		172/174			P		
			PCS		101/202			P		
			PCS		49/196			P		
			PCS	HP:0003584	3/3			P		
			PCS	HP:0011461	1/14			P		
			PCS	HP:0011461	2/14			P		
			PCS		1/7	FEMALE		P		
			PCS		4/15	FEMALE		P		
			PCS		1/13	MALE		C		
			PCS		4/13	MALE		P		
			PCS		2/13	MALE		P		
			PCS		3/13	MALE		P		
			PCS		13/13	MALE		C		
			PCS		2/15	FEMALE		P		
			PCS		10/13	MALE		P		
			PCS		12/13	MALE		P		
			TAS		2/13	MALE		P		
			PCS		2/13	MALE		C		
			PCS		27/638			P		
			PCS		18/28			C		
			PCS		0/42			P		
			PCS		42/42			C		
			PCS				HP:0031375	P		
			PCS		HP:0040280			I		
			PCS		1/2			H		
			PCS		52%			P		
			PCS		46%			P		
			PCS		30%			P		
			PCS		71%			P		
			IEA		6/14			P		
			PCS		4/8	MALE		P		
			PCS		3/3		HP:0012837	P		
			PCS		3/34			P		
			PCS		27/35			P		
			PCS		34/35			P		
			PCS	HP:0003623	5/19			P		
			PCS		3/79			P		
			TAS		9/19			P		
			PCS		6/79			P		
			PCS		9/79			P		
			PCS		40/90			P		
			PCS		1/79			P		
			PCS		7/79			P		
			PCS	HP:0003577	1/3	MALE		P		
			PCS		6/6			H		
			PCS	HP:0011461	4/6			P		
			PCS	HP:0030674	1/5			P		
			IEA	HP:0011461	1/5			P		
			PCS		1/44			P		
			PCS		37/44			P		
			PCS		10/44			P		
			PCS		28/44			P		
			PCS		26/44			P		
			PCS		23/44			P		
			PCS	HP:0003621	2/5			P		
			PCS		16/16		HP:0012828	P		
			PCS		7/52			P		
			PCS		27/53			P		
			PCS		17/77			C		
			PCS		12/59			P		
			PCS		57/84			C		
			PCS		30/63			P		
			PCS		15/36			P		
			PCS		99/99			P		
			PCS		16/36			P		
			PCS		8/52			P		
			PCS		15/68			P		
			PCS		12/68			P		
			PCS		7/51			P		
			PCS		18/59			P		
			PCS		2/38			C		
			PCS		5/63			P		
			PCS		5/66			P		
			PCS		18/36			P		
			PCS		11/67			P		
			PCS		7/47			P		
			PCS		9/64			C		
			PCS		14/67			P		
			PCS		8/66			P		
			PCS		6/48			P		
			PCS		11/68			P		
			PCS		36/51			P		
			PCS		58/59		HP:0012828	P		
			PCS		13/49			P		
			PCS		32/55			P		
			PCS		26/58			P		
			PCS		32/62			P		
			PCS		15/56			P		
			PCS		1/46			P		
			PCS		11/46			P		
			PCS		4/6		HP:0025377	P		
			PCS		3/3		HP:0025377	P		
			PCS		38/119			P		
			PCS		24/76			P		
			PCS		10/111			P		
			PCS	HP:0011463	49/125			P		
			PCS		29/114			P		
			PCS	HP:0011463	HP:0040282			P		
			PCS	HP:0003621	HP:0040282			P		
			PCS		9/104			P		
			PCS		27/104			P		
			PCS		55/104			P		
			PCS		2/110			P		
			PCS		30/125			P		
			PCS		112/125			P		
			PCS		33/124			P		
			PCS		6/115			P		
			PCS		8/111			P		
			PCS		10/53			P		
			PCS		114/124			P		
			PCS		1/117			P		
			PCS		8/125			P		
			PCS		2/125			P		
			PCS		3/125			P		
			PCS		1/115			P		
			PCS		2/115			P		
			PCS		5/109			P		
			PCS		41/41			P		
			PCS		4/115			P		
			PCS		4/117			P		
			PCS		52/56			P		
			PCS		10/109			P		
			PCS		26/104			P		
			PCS		1/109			P		
			PCS		4/125			P		
			PCS		3/104			P		
			PCS	HP:0003621	HP:0040283			P		
			PCS		19/91			P		
			PCS		0/84			P		
			PCS		5/125			P		
			PCS		35/125			P		
			PCS		6/118			P		
			PCS		2/117			P		
			PCS		14/104			P		
			PCS		12/92			P		
			PCS		39/109			P		
			PCS	HP:0003621	HP:0040284			P		
			PCS		7/104			P		
			PCS		13/109			P		
			PCS		10/104			P		
			PCS	HP:0011463	4/4		HP:0012828	P		
			IEA		6/6			P		
			PCS		4/4	FEMALE		P		
			PCS			MALE	HP:0012828	P		
			PCS			MALE		C		
			PCS	HP:0003577	1/2	FEMALE		P		
			PCS	HP:0003577	1/1	MALE		P		
			PCS	HP:0003577	1/1	FEMALE		P		
			PCS		13/28			P		
			PCS		8/20			C		
			PCS		1/20			C		
			PCS		11/20			C		
			PCS	HP:0003621	4/5			P		
			PCS	HP:0011463	1/6			P		
			PCS		2/2		HP:0012840	P		
			PCS	HP:0011461	4/5			P		
			PCS	HP:0003593	8/14			P		
			PCS		16/25			C		
			PCS		9/25			C		
			PCS		24/28			P		
			PCS	HP:0011462	5/5			P		
			PCS	HP:0003593			HP:0003676	P		
			PCS		1/4		HP:0003676	P		
			PCS	HP:0011461	8/8			P		
			PCS		51/72			P		
			PCS		43/66			P		
			PCS		1/53			P		
			PCS		17/68			P		
			PCS		74/74			P		
			PCS		9/60			P		
			PCS		74/75			P		
			PCS		24/49			P		
			PCS		66/73			P		
			PCS	HP:0003577	62/71			P		
			PCS		1/35			C		
			PCS		16/35			C		
			IEA		7/40			P		
			PCS		3/35			C		
			PCS		15/35			C		
			PCS		17/31			C		
			PCS		13/31			C		
			PCS		1/31			C		
			PCS		23/31			P		
			PCS		12/33			P		
			IEA		7/11			P		
			PCS		22/34			P		
			PCS		28/34			P		
			PCS		9/34			P		
			PCS		33/34			P		
			PCS		26/34			P		
			PCS		5/34			P		
			PCS		32/34			P		
			PCS		25/34			P		
			PCS		14/34			P		
			PCS		17/50			P		
			PCS	HP:0003593	27/27			P		
			PCS		18/92			P		
			PCS		13/92			P		
			PCS		46/102			P		
			PCS		26/127			P		
			PCS	HP:0003593	3/9			P		
			PCS	HP:0003577	1/9			P		
			PCS		21/22			C		
			IEA		4/15			P		
			PCS		1/10		HP:0033198	P		
			TAS		1/1			H		
			PCS		1/1		HP:0025221	P		
			TAS		1/1		HP:0025221	P		
			PCS	HP:0003593	17/17			P		
			PCS	HP:0003593	16/17			P		
			TAS				HP:0033789	P		
			PCS	HP:0003623	11/13			P		
			PCS	HP:0003593	13/13			P		
			IEA		1/14			P		
			PCS	HP:0003581	6/6			P		
			PCS	HP:0011463	21/22			P		
			PCS	HP:0003577	1/22			P		
			PCS	HP:0003577	2/11			P		
			PCS		7/9	MALE		P		
